,Date,Text
119,2021-01-22 18:02:03,"その日はディスコの決算もあってちょっとドキドキかも
どーゆー反応が出ても、長いスパンで見たら
ほとんど影響ないような会社だと思う"
120,2021-01-22 15:00:08,"少しずつ戻してきましたね。
決算は来週、火曜日…
どうなりますか〜⁈"
121,2021-01-22 09:00:03,"安心できるお金の置き場所をみんな探してるんよ
キリンはここはその一つと思ってる"
122,2021-01-22 08:04:06,"ERP（企業資源計画）パッケージ導入件数18年連続首位。無論、その間は連続黒字決算…と超有力企業である。
しかしMJSなどに比してIR活動が脆弱で一般認知度の高まりが無く投資意欲を引き出せていない。
企業としての安定性、成長性は間違いの無いので基本的には株価も近々の小口投資家の売りをこなして右肩上がりに戻ると確信。"
123,2021-01-21 23:05:05,🤔余裕綽々😁
124,2021-01-21 22:04:01,"チャートがめちゃくちゃで笑える。
ホルダーでなければ、もっと気楽に笑えるのに…泣"
125,2021-01-21 19:00:07,さ、さ、さ、さ、さ、3年⁉️
126,2021-01-21 14:01:05,3年くらい株価見なければもっと良いかも
127,2021-01-21 13:03:01,業績に株価は必ずついてくる。せっかちさんには向かない銘柄。この辺りでインして1ケ月くらい株価見なければ良い。
128,2021-01-21 11:04:08,"17年連続最高益…
すごい会社だと思いますが。
応援しますよ！"
129,2021-01-21 11:03:04,業務提携とか新商品とか戦略がない
130,2021-01-21 10:01:04,"会社のせいではないでしょう。
弄ばれてます。どこもかしこも…"
131,2021-01-21 10:00:04,"株価をなんとか引き上げようとする会社ではないことがわかった
二度と投資しない"
132,2021-01-20 14:05:02,"もうアメフト部解散しろ
なんだこの体たらくは"
133,2021-01-20 09:03:00,"ファーストリテ1 → オービック4 に交換した
2年後どうなるかが勝負
ちょっと現金増えたのはおまけ"
134,2021-01-19 18:00:08,株価が上がらないイコール将来性がない
135,2021-01-19 15:02:06,"JPモルガン「Overweight」継続、24000円

→やはりいずれ24000付近に行くようにみえます。"
136,2021-01-19 15:01:04,"モルガン、24000円って…
なんか現実味ないんですのよ。"
137,2021-01-19 15:00:06,"キリンが買い込んでる時は掲示板の雰囲気が悪いことが多いんよ
今回の結果はどうなるかな？"
138,2021-01-19 14:03:08,"もう投資しないぞ　しっかりしろよ
自社株価いくらい少ししろよ　対策立てろ"
139,2021-01-19 11:01:08,"しばらく分割してないし、業績右肩上がりなら、分割してほしいなと思ってます。
配当金も良い感じでしょう。

東京エレクトロンやユニクロのように値嵩株になりたいのかしら？"
140,2021-01-19 11:01:06,キリンさんの判断が正しいこと祈ってます。
141,2021-01-19 11:00:02,"もうこの企業魅力ないのか
CMもワンパターンだし
経営者はもっと努力しろよ
アメフト優勝関係ないし"
142,2021-01-19 10:03:01,ここ、あまりの業績の美しさに惹かれて最近興味を持って見始めたのですが、日経指数と連動する銘柄なのですかね？
143,2021-01-19 10:02:09,"> オービックは良い企業ですが、日経がパンパンの高値なのが、気になります。

そうなんよね
今日ファーストリテ利確したん、全部じゃないけど"
144,2021-01-19 10:02:00,"決算いいのになんでこんなに下がってるのか
競合企業が多いからか
機関投資家に遊ばれてるのか"
145,2021-01-19 10:01:08,こちらも追加しました。
146,2021-01-19 10:01:06,後場、半導体はじめ、全下げにならなきゃ良いと思います。
